month_date,continuity,year,month
2017-01-01,65.33,2017,1
2017-02-01,60.35,2017,2
2017-03-01,59.73,2017,3
2017-04-01,61.55,2017,4
2017-05-01,60.65,2017,5
2017-06-01,58.17,2017,6
2017-07-01,60.75,2017,7
2017-08-01,57.78,2017,8
2017-09-01,55.34,2017,9
2017-10-01,62.47,2017,10
2017-11-01,61.92,2017,11
2017-12-01,65.99,2017,12
2018-01-01,59.91,2018,1
2018-02-01,58.02,2018,2
2018-03-01,63.45,2018,3
2018-04-01,64.98,2018,4
2018-05-01,75.5,2018,5
2018-06-01,72.12,2018,6
2018-07-01,65.57,2018,7
2018-08-01,67.41,2018,8
2018-09-01,73.5,2018,9
2018-10-01,66.91,2018,10
2018-11-01,56.03,2018,11
2018-12-01,56.23,2018,12
2019-01-01,55.39,2019,1
2019-02-01,60.11,2019,2
2019-03-01,59.12,2019,3
2019-04-01,52.35,2019,4
2019-05-01,50.5,2019,5
2019-06-01,58.77,2019,6
2019-07-01,63.56,2019,7
2019-08-01,58.2,2019,8
2019-09-01,58.51,2019,9
2019-10-01,51.18,2019,10
2019-11-01,57.68,2019,11
2019-12-01,59.86,2019,12
2020-01-01,67.38,2020,1
2020-02-01,56.41,2020,2
2020-03-01,55.21,2020,3
2020-04-01,NA,2020,4
2020-05-01,NA,2020,5
2020-06-01,45.8,2020,6
2020-07-01,45.09,2020,7
2020-08-01,34.59,2020,8
2020-09-01,41.67,2020,9
2020-10-01,57.59,2020,10
2020-11-01,53.54,2020,11
2020-12-01,47.72,2020,12
2021-01-01,39.4,2021,1
2021-02-01,46,2021,2
2021-03-01,35,2021,3
2021-04-01,62.5,2021,4
2021-05-01,71.2,2021,5
2021-06-01,NA,2021,6
2021-07-01,62.3,2021,7
2021-08-01,47.9,2021,8
2021-09-01,67.7,2021,9
2021-10-01,60.6,2021,10
2021-11-01,49.6,2021,11
2021-12-01,49.6,2021,12
