month_date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,year,month
2017-01-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,38.087,23.96,10.282,29.656,8.7637,18.852,6.7179,2017,1
2017-02-01,6.7563,15.649,20.612,9.2922,6.7179,13.465,25,23.912,25,37.5,23.663,10.151,29.94,8.7637,18.852,6.7179,2017,2
2017-03-01,7.6767,15.649,20.612,9.2922,6.7179,13.465,25,23.912,25,33.255,23.848,10.282,30.022,8.7637,18.852,6.7179,2017,3
2017-04-01,7.6767,15.649,20.517,9.2922,6.7179,13.465,25,23.912,25,33.255,23.515,6.8784,29.806,8.7637,18.852,6.7179,2017,4
2017-05-01,6.7179,15.649,20.767,9.2922,6.7179,13.465,25,23.912,25,32.637,23.57,6.8784,29.656,8.7637,18.852,6.7179,2017,5
2017-06-01,6.7179,15.649,21.294,9.2922,6.7179,13.465,25,23.911,25,34.448,23.809,6.8162,30.719,8.7637,18.852,6.7179,2017,6
2017-07-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,36.306,23.796,6.8784,30.286,8.7637,18.852,6.7179,2017,7
2017-08-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.735,25,32.49,24.087,6.8784,25,8.7637,18.852,6.7179,2017,8
2017-09-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,32.19,24.006,6.8784,29.656,8.7637,18.852,6.7179,2017,9
2017-10-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.896,25,33.45,23.997,6.8784,31.492,8.7637,18.852,6.7179,2017,10
2017-11-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.893,25,29.291,24.066,6.8784,31.402,8.7637,18.852,6.7179,2017,11
2017-12-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,37.5,23.94,6.8784,31.08,8.7637,18.852,6.7179,2017,12
2018-01-01,6.7546,15.649,20.851,9.2922,6.7179,13.465,25,23.912,25,30.934,24.044,6.8784,30.244,8.7637,18.852,6.7179,2018,1
2018-02-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,29.551,24.007,6.8353,30.322,8.7637,18.852,6.7179,2018,2
2018-03-01,6.7563,15.649,21.388,9.2922,6.7179,13.465,25,23.495,25,32.674,24.043,6.8463,30.244,8.7637,18.852,6.7179,2018,3
2018-04-01,7.6767,15.649,21.319,9.2922,6.7179,13.465,25,23.815,25,38.087,24.042,6.8784,30.192,8.7637,18.852,6.7179,2018,4
2018-05-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.893,25,31.831,23.921,6.8162,29.665,8.7637,18.852,6.7179,2018,5
2018-06-01,7.6767,15.649,20.986,9.2922,6.7179,13.465,25,23.895,25,36.823,23.673,6.8784,29.681,8.7637,18.852,6.7179,2018,6
2018-07-01,7.6767,15.649,21.373,9.2922,6.7179,13.465,25,23.904,25,37.5,23.811,6.8299,29.855,8.7637,18.852,6.7179,2018,7
2018-08-01,7.6767,15.649,20.767,9.2922,6.7179,13.465,25,23.788,25,37.683,23.7,6.869,29.656,8.7637,18.852,6.7179,2018,8
2018-09-01,7.6767,15.649,20.442,9.2922,6.7179,13.465,25,23.815,25,34.965,23.976,6.8463,30.118,8.7637,18.852,6.7179,2018,9
2018-10-01,7.6767,15.649,20.767,9.2922,6.7179,13.465,25,23.707,25,34.777,23.898,6.8054,30.112,8.7637,18.852,6.7179,2018,10
2018-11-01,7.6767,15.649,21.16,9.2922,6.7179,13.465,25,23.505,25,29.653,24.109,6.8244,29.806,8.7637,18.852,6.7179,2018,11
2018-12-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.522,25,30.25,24.037,6.7919,30.628,8.7637,18.852,6.7179,2018,12
2019-01-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.565,25,25,24.117,6.8436,30.359,8.7637,18.852,6.7179,2019,1
2019-02-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.799,25,25.572,24.117,6.8381,30.775,8.7637,18.852,6.7179,2019,2
2019-03-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.88,25,25,24.117,6.7758,31.267,8.7637,18.852,6.7179,2019,3
2019-04-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,25,24.117,6.7678,31.534,8.7637,18.852,6.7179,2019,4
2019-05-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.844,25,25,24.117,6.7919,31.814,8.7637,18.852,6.7179,2019,5
2019-06-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.912,25,25,24.117,6.8217,32.068,8.7637,18.852,6.7179,2019,6
2019-07-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.857,25,25,24.117,6.7205,30.98,8.7637,18.852,6.7179,2019,7
2019-08-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,23.912,22.204,38.087,24.008,6.7179,30.62,8.7637,18.852,6.7179,2019,8
2019-09-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,25,22.583,7.204,37.779,23.989,6.7179,30.765,8.7637,18.852,6.7179,2019,9
2019-10-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,24.738,23.003,7.0658,25,24.303,6.7179,31.829,8.7637,18.852,6.7179,2019,10
2019-11-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,24.218,22.141,7.1342,24.413,24.303,6.7179,33.053,8.7637,7.2414,6.7179,2019,11
2019-12-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,23.872,21.542,7.1906,25,24.303,6.7179,33.188,8.7637,7.3225,6.7179,2019,12
2020-01-01,6.7179,15.649,21.388,9.2922,6.7179,13.465,23.461,20.823,7.2483,25,24.361,6.7179,32.132,8.7637,7.4073,6.7179,2020,1
2020-02-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,23.461,21.112,7.2209,24.764,24.397,6.7179,33.499,8.7637,6.9574,6.7179,2020,2
2020-03-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,23.819,24.194,7.1046,25,21.816,6.7179,25,6.7179,7.4255,6.7179,2020,3
2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,4
2020-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,5
2020-06-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,6.7179,6.7179,6.7179,23.315,16.466,6.7179,25,6.7179,9.3986,6.7179,2020,6
2020-07-01,7.6767,15.649,21.349,9.2922,6.7179,13.465,6.7179,6.7179,NA,19.61,14.317,6.7179,25,6.7179,9.7608,6.7179,2020,7
2020-08-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,8.9682,NA,6.7179,18.364,14.978,6.7179,25,6.7179,8.5108,6.7179,2020,8
2020-09-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,11.945,6.7179,6.7179,22.673,15.593,6.7179,25,6.7179,9.033,6.7179,2020,9
2020-10-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,23.899,6.7179,6.7179,23.63,15.704,6.7179,25,6.7179,7.4551,6.7179,2020,10
2020-11-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,17.64,6.7179,6.7179,23.315,14.194,6.7179,25,6.7179,7.1013,6.7179,2020,11
2020-12-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,8.1685,6.7179,6.7179,22.141,15.704,6.7179,25,6.7179,6.8864,6.7179,2020,12
2021-01-01,7.6767,15.649,21.388,9.2922,6.7179,13.465,16.544,6.7179,6.7179,21.165,16.234,6.7179,25,6.7179,8.9033,6.7179,2021,1
2021-02-01,7.225,15.649,21.196,9.2922,6.7179,13.465,20.687,6.7179,6.7179,19.726,13.279,6.7179,25,6.7179,8.6597,6.7179,2021,2
2021-03-01,7.6767,15.649,21.238,9.2922,6.7179,13.465,21.659,7.3064,6.7179,18.097,15.033,6.7179,25,6.7179,9.2907,6.7179,2021,3
2021-04-01,7.6767,15.649,23.912,11.221,6.7179,6.9816,7.2656,7.069,6.7179,19.726,15.081,6.7179,25,6.7179,7.4329,6.7179,2021,4
2021-05-01,7.6767,15.649,23.912,8.26,6.7179,7.0062,7.0217,6.7336,6.7179,23.331,16.252,6.7179,25,6.7179,7.3681,6.7179,2021,5
2021-06-01,NA,6.7179,NA,NA,6.7179,6.7179,6.7179,6.7179,6.7179,18.284,13.147,6.7179,21.269,6.7179,7.3748,6.7179,2021,6
2021-07-01,7.6767,15.649,23.912,7.3929,6.7179,7.0248,6.9424,6.7179,6.7179,23.283,9.4131,6.7179,25,6.7179,17.64,6.7179,2021,7
2021-08-01,6.7563,15.649,23.912,7.3822,6.7179,7,7.2107,6.7179,6.7179,23.219,10.745,6.7179,25,6.7179,9.7548,6.7179,2021,8
2021-09-01,6.7563,15.649,23.912,7.3261,6.7179,7.0031,7.5084,6.7179,6.7179,24.528,16.727,6.7179,25,6.7179,13.611,6.7179,2021,9
2021-10-01,7.6767,15.649,23.831,7.444,6.7179,6.9424,7.1177,6.7179,6.7179,21.883,15.871,6.9127,25,6.7179,19.803,6.7179,2021,10
2021-11-01,7.6767,15.649,18.93,7.3611,6.7179,6.7785,7.1177,6.7179,6.7179,24.36,18.42,6.7179,25,6.7179,19.61,6.7179,2021,11
2021-12-01,7.6767,15.649,18.93,7.4001,7.0981,9.3268,11.52,6.7179,6.7179,23.976,17.452,6.7179,25,6.7179,20.653,6.7179,2021,12
